Day,Year,Hour,Minute,Second,Name,Shares,Ask_Price,Bid_Price
125,2020,10,31,23,MDGS,10,3.22,3.18
125,2020,10,31,23,TUES,10,0.4949,0.4948
125,2020,10,32,23,MDGS,10,3.22,3.18
125,2020,10,32,23,TUES,10,0.5,0.4949
125,2020,10,33,25,MDGS,10,3.21,3.18
125,2020,10,33,25,TUES,10,0.5,0.4949
125,2020,10,34,27,MDGS,10,3.21,3.2
125,2020,10,34,27,TUES,10,0.5,0.4949
125,2020,10,35,23,MDGS,10,3.21,3.2
125,2020,10,35,24,TUES,10,0.495,0.4949
125,2020,10,36,25,MDGS,10,3.21,3.2
125,2020,10,36,25,TUES,10,0.495,0.4949
125,2020,10,37,24,MDGS,10,3.22,3.2
125,2020,10,37,24,TUES,10,0.495,0.4949
125,2020,10,38,26,MDGS,10,3.22,3.2
125,2020,10,38,26,TUES,10,0.495,0.4949
125,2020,10,39,26,MDGS,10,3.22,3.2
125,2020,10,39,26,TUES,10,0.4948,0.4903
125,2020,10,40,25,MDGS,10,3.22,3.2
125,2020,10,40,26,TUES,10,0.4948,0.4896
125,2020,10,41,34,MDGS,10,3.21,3.2
125,2020,10,41,36,TUES,10,0.4948,0.4946
125,2020,10,42,24,MDGS,10,3.21,3.2
125,2020,10,42,24,TUES,10,0.4948,0.4947
125,2020,10,43,30,MDGS,10,3.21,3.2
125,2020,10,43,30,TUES,10,0.4948,0.4947
125,2020,10,44,25,MDGS,10,3.21,3.2
125,2020,10,44,25,TUES,10,0.4948,0.49
125,2020,10,45,27,MDGS,10,3.21,3.2
125,2020,10,45,28,TUES,10,0.4948,0.49
125,2020,10,46,26,MDGS,10,3.21,3.2
125,2020,10,46,26,TUES,10,0.4948,0.49
125,2020,10,47,25,MDGS,10,3.22,3.2
125,2020,10,47,25,TUES,10,0.4948,0.49
125,2020,10,48,32,MDGS,10,3.22,3.2
125,2020,10,48,34,TUES,10,0.4948,0.49
125,2020,10,49,28,MDGS,10,3.22,3.2
125,2020,10,49,28,TUES,10,0.4948,0.4919
125,2020,10,50,30,MDGS,10,3.22,3.2
125,2020,10,50,31,TUES,10,0.4948,0.4919
125,2020,10,51,28,MDGS,10,3.22,3.21
125,2020,10,51,28,TUES,10,0.4948,0.4922
125,2020,10,52,28,MDGS,10,3.22,3.19
125,2020,10,52,29,TUES,10,0.4944,0.4896
125,2020,10,53,28,MDGS,10,3.22,3.21
125,2020,10,53,29,TUES,10,0.5,0.4896
125,2020,10,54,28,MDGS,10,3.22,3.21
125,2020,10,54,28,TUES,10,0.4897,0.4896
125,2020,10,55,28,MDGS,10,3.22,3.21
125,2020,10,55,28,TUES,10,0.4897,0.4896
125,2020,10,56,31,MDGS,10,3.22,3.19
125,2020,10,56,31,TUES,10,0.4897,0.4896
125,2020,10,57,31,MDGS,10,3.22,3.19
125,2020,10,57,31,TUES,10,0.4897,0.4896
125,2020,10,58,33,MDGS,10,3.22,3.19
125,2020,10,58,33,TUES,10,0.4897,0.4896
125,2020,10,59,33,MDGS,10,3.22,3.19
125,2020,10,59,33,TUES,10,0.5,0.49
125,2020,11,0,36,MDGS,10,3.22,3.19
125,2020,11,0,37,TUES,10,0.5,0.4896
125,2020,11,1,35,MDGS,10,3.22,3.19
125,2020,11,1,36,TUES,10,0.5,0.492
125,2020,11,2,35,MDGS,10,3.22,3.19
125,2020,11,2,37,TUES,10,0.5,0.492
125,2020,11,3,35,MDGS,10,3.22,3.21
125,2020,11,3,36,TUES,10,0.4925,0.4896
125,2020,11,4,37,MDGS,10,3.22,3.21
125,2020,11,4,38,TUES,10,0.4925,0.4896
125,2020,11,5,37,MDGS,10,3.22,3.21
125,2020,11,5,37,TUES,10,0.4924,0.4896
125,2020,11,6,42,MDGS,10,3.22,3.21
125,2020,11,6,42,TUES,10,0.4917,0.4896
125,2020,11,7,37,MDGS,10,3.22,3.21
125,2020,11,7,37,TUES,10,0.4917,0.4896
